term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
overall,0.009706316982543376,0.012652189156024124,-0.004079513318433677,0.013432018953027387,0.003591354385842817,-0.009206933707509224,0.013786020127183855,-0.007067285637181102,-0.0037900683084429797,-3.3704917173537e-16
sinkford,0.009706316982543376,0.012652189156024124,-0.004079513318433677,0.013432018953027387,0.003591354385842817,-0.009206933707509224,0.013786020127183855,-0.007067285637181102,-0.0037900683084429797,-3.3704917173537e-16
seville,0.009706316982543376,0.012652189156024124,-0.004079513318433677,0.013432018953027387,0.003591354385842817,-0.009206933707509224,0.013786020127183855,-0.007067285637181102,-0.0037900683084429797,-3.3704917173537e-16
jack,-0.0003424604332489565,-0.004338705874302546,-0.0034447704016305107,-0.003694134737819982,-0.002290795133647019,-0.007015323328158671,-0.0009599471310169535,-0.0016875113453020947,0.007582539016140922,8.59154005314697e-18
maria,0.00016514306395966897,-0.001193480998265836,-0.008531868979599969,-0.009912976615226561,0.0021752838417478646,-0.012149106503326963,-0.005426426509269648,-0.000659569004863789,0.010076385330651616,3.579732022779258e-17
sleeping,-0.010874971836989877,-0.0007048581191455252,-0.0029463219748838633,0.004003516677533429,0.000633803971160874,-0.004193847264926803,-0.01077926509373563,-0.009538888109966741,0.0031184021806350175,9.833816896689601e-17
charging,-0.008910556789826364,-0.0026377633278184746,-0.004928557069996386,0.0038741411292479034,0.00040540608301833,-0.003777696966639465,-0.011443336433490376,-0.010290045078459579,0.0011761671128397396,1.4624506803774756e-16
edgerton,0.001964438052809889,-0.016718410832864256,0.01891441327379897,-0.0034175024667448357,0.013737394560939793,-0.0035124423199101138,0.007085342530660901,-0.003670157785781644,-0.003724795398372518,-2.1772025666676507e-16
programs,0.009447033997612994,-0.0016525374819397717,0.0015136267619997761,0.0028311628631818497,0.0015848236581665718,0.002445099569708897,-0.004251723685850706,0.003018401502586828,0.000967841293584553,1.4039584575402975e-16
ghana,-0.008994048741430456,-0.002906346370403551,-0.006561719236022637,0.002421067734719864,0.003384957445754532,0.009891537499186545,0.006319889513380158,-0.0004985600508551443,0.00018469840373690397,1.3717913589808424e-18
shot,-0.00674266849325765,-0.0002619095324840745,-0.005582356060565709,0.001972699426181893,0.004589190975516898,0.0028866408470738223,-0.005274057417636781,-0.0012648649945175283,0.001404369255140874,1.2252781124192075e-16
fifth,0.003321419114073027,0.0070643128392061695,-0.0007682844479900297,0.008149548777034674,-0.0006031685714262034,-0.0036314106645504458,0.006984434657620072,0.002077173250769142,-0.002431800158747253,-1.2206301084413235e-16
waymon,0.012055045077840098,-0.005038819962953495,-0.005532859456465137,-0.012094952275169983,-0.008421408003906781,-0.0029616216603703055,0.004696060676502305,-0.0019424327222998796,0.02326210177542867,-7.8225407785819e-17
rapper,0.012055045077840098,-0.005038819962953495,-0.005532859456465137,-0.012094952275169983,-0.008421408003906781,-0.0029616216603703055,0.004696060676502305,-0.0019424327222998796,0.02326210177542867,-7.8225407785819e-17
ci,-0.005679903793649265,0.0029326932522000465,-0.009837627404397253,-0.0044746669847087065,0.008757697842079712,-0.010012808537403635,-0.005493346005250233,-0.0003678870495766549,-0.0026903924133342806,4.8852655637729205e-17
johnnie,0.011586577234624132,0.00048158344196659527,-0.0034408923037937992,-0.001899582745338794,-0.003031953673972759,-8.812433464780286e-05,0.0002520311777022925,-0.00039585880206211347,0.005455474683787932,2.807279204868613e-17
